id,title,genre,rating,director
1,The Matrix,Sci-Fi,8.7,Lana Wachowski
2,The Matrix Reloaded,Sci-Fi,7.2,Lana Wachowski
3,The Matrix Revolutions,Sci-Fi,6.7,Lana Wachowski
4,Inception,Sci-Fi,8.8,Christopher Nolan
5,Interstellar,Sci-Fi,8.6,Christopher Nolan
6,The Dark Knight,Action,9.0,Christopher Nolan
7,The Dark Knight Rises,Action,8.4,Christopher Nolan
8,Batman Begins,Action,8.2,Christopher Nolan
9,Tenet,Sci-Fi,7.4,Christopher Nolan
10,Memento,Thriller,8.4,Christopher Nolan
11,The Prestige,Thriller,8.5,Christopher Nolan
12,Dunkirk,Action,7.8,Christopher Nolan
13,Blade Runner 2049,Sci-Fi,8.0,Denis Villeneuve
14,Arrival,Sci-Fi,7.9,Denis Villeneuve
15,Dune,Sci-Fi,8.0,Denis Villeneuve
16,Sicario,Thriller,7.6,Denis Villeneuve
17,Prisoners,Thriller,8.1,Denis Villeneuve
18,The Shawshank Redemption,Drama,9.3,Frank Darabont
19,The Green Mile,Drama,8.6,Frank Darabont
20,The Mist,Horror,7.1,Frank Darabont
21,Pulp Fiction,Crime,8.9,Quentin Tarantino
22,Kill Bill Vol 1,Action,8.2,Quentin Tarantino
23,Kill Bill Vol 2,Action,8.0,Quentin Tarantino
24,Django Unchained,Action,8.4,Quentin Tarantino
25,Inglourious Basterds,Action,8.3,Quentin Tarantino
26,The Hateful Eight,Thriller,7.8,Quentin Tarantino
27,Once Upon a Time in Hollywood,Comedy,7.6,Quentin Tarantino
28,Reservoir Dogs,Crime,8.3,Quentin Tarantino
29,Jackie Brown,Crime,7.5,Quentin Tarantino
30,Fight Club,Drama,8.8,David Fincher
31,Se7en,Thriller,8.6,David Fincher
32,Gone Girl,Thriller,8.1,David Fincher
33,The Social Network,Drama,7.8,David Fincher
34,Zodiac,Thriller,7.7,David Fincher
35,The Curious Case of Benjamin Button,Drama,7.8,David Fincher
36,Panic Room,Thriller,6.8,David Fincher
